incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
100000001,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2020,,,,
100000002,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2023,,,,
100000003,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2025,,,,
100000004,Intimidation,13C,Assault Offenses,Crimes against Person,2021,,,,
100000005,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2024,,,,
100000006,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2017,,,,
100000007,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2021,,,,
100000008,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2022,,,,
100000009,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000010,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000011,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000012,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000013,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000014,All Other Offenses,90Z,All Other Offenses,Other,2019,,,,
100000015,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2020,,,,
100000016,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000017,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000018,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2025,,,,
100000019,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2021,,,,
100000020,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2025,,,,
100000021,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000022,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,,,,
100000023,All Other Offenses,90Z,All Other Offenses,Other,2023,,,,
100000024,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000025,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2024,,,,
100000026,Simple Assault,13B,Assault Offenses,Crimes against Person,2017,,,,
100000027,Simple Assault,13B,Assault Offenses,Crimes against Person,2023,,,,
100000028,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000029,All Other Offenses,90Z,All Other Offenses,Other,2023,,,,
100000030,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000031,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000032,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
